Study_ID,Study_Year,Country,Region,Land_Use_Change,Covariates,Sampling_Design,Exclosure_Treatments,Function_Methods,Land.use.Source,Citations,DOI
rusc05,2014,france,aquitaine,no,NA,"2 transect, one for carabid sampling using 3 pitfall traps during three consecutive weeks in July, the other 20m apart from the pitfall transect with three replicates each of two exclusion treatments: (i) three seed cards with vertebrate exclusion cages (diameter: 15 cm; height: 10 cm; mesh size: 1.7 cm2) excluding vertebrates but allowing invertebrates to enter the cage, (ii) and three seed cards with total exclusion (vertebrates + invertebrates) (diameter: 15 cm; height: 10 cm; mesh size: 0.9 mm2) ","The experimental design consisted of three replicates each of two exclusion treatments: (i) three seed cards with vertebrate exclusion cages (diameter: 15 cm; height: 10 cm; mesh size: 1.7 cm2) excluding vertebrates but allowing invertebrates to enter the cage, (ii) and three seed cards with total exclusion (vertebrates + invertebrates) (diameter: 15 cm; height: 10 cm; mesh size: 0.9 mm2). On each card, 30 seeds (10 seeds x 3 species) were glued onto a 10 cm x 10 cm brown sand paper (grain size 120). We used the species Chenopodium album L., Capsella bursa-pastoris (L.) Medik., and Plantago lanceolata L.. These species were used because they differ in their size and weight (Menalled et al., 2007; Trichard et al., 2013). For each pair, the two exclusion treatments were randomly allocated along a transect in the inter-row, 30 m apart from the edge and separated from each other by 10 m. ",weed seed predation (see on the left),CORINE (Europe),"Rusch, A., Binet, D., Delbac, L. & Thiéry, D. (2016) Local and landscape effects of agricultural intensification on Carabid community structure and weed seed predation in a perennial cropping system. Landscape Ecology, 1–12.",2f83b53d-424c-49e4-96f7-03849dac59d7
rusc06,2013,france,aquitaine,no,NA,"2 transect, one for carabid sampling using 3 pitfall traps during three consecutive weeks in July, the other 20m apart from the pitfall transect with three replicates each of two exclusion treatments: (i) three seed cards with vertebrate exclusion cages (diameter: 15 cm; height: 10 cm; mesh size: 1.7 cm2) excluding vertebrates but allowing invertebrates to enter the cage, (ii) and three seed cards with total exclusion (vertebrates + invertebrates) (diameter: 15 cm; height: 10 cm; mesh size: 0.9 mm2) ","The experimental design consisted of three replicates each of two exclusion treatments: (i) three seed cards with vertebrate exclusion cages (diameter: 15 cm; height: 10 cm; mesh size: 1.7 cm2) excluding vertebrates but allowing invertebrates to enter the cage, (ii) and three seed cards with total exclusion (vertebrates + invertebrates) (diameter: 15 cm; height: 10 cm; mesh size: 0.9 mm2). On each card, 30 seeds (10 seeds x 3 species) were glued onto a 10 cm x 10 cm brown sand paper (grain size 120). We used the species Chenopodium album L., Capsella bursa-pastoris (L.) Medik., and Plantago lanceolata L.. These species were used because they differ in their size and weight (Menalled et al., 2007; Trichard et al., 2013). For each pair, the two exclusion treatments were randomly allocated along a transect in the inter-row, 30 m apart from the edge and separated from each other by 10 m. ",weed seed predation (see on the left),CORINE (Europe),"Rusch, A., Delbac, L. & Thiéry, D. (2017) Grape moth density in Bordeaux vineyards depends on local habitat management despite effects of landscape heterogeneity on their biological control. Journal of Applied Ecology, 54, 1794–1803.",350bdd70-a905-43f2-9a60-ed855308ca62
sarg01,2012,united states,southern and central maryland,no,pheromone trap presence,"We conducted weekly visual censuses of the vegetative parts and fruits of each of two tomato plants per home garden, over an eight week study period, conducting 4 minutes of visual surveys per garden. Presented are the summed counts of stink bugs across the season in these visual surveys.",NA,"To calculate herbivore damage, we assessed tomato fruits (1-5 fruits per plant) on each of two focal plants at the end of the growing season. We counted feeding punctures and measured fruit size to calculate the number of feeding punctures per cm^2 surface area. We report the average damage across these two focal plants; where data were unavailable from both of these plants, we have left cells blank.",Cropland Data Layer (United States),"Sargent, C., H. M. Martinson, and M. J. Raupp. 2014. Traps and trap placement may affect location of brown marmorated stink bug (Hemiptera: Pentatomidae) and increase injury to tomato fruits in home gardens. Environmental Entomology 43: 432-438",b72686c8-434c-4827-900b-56fc9958d707
sart02,2015,france,midi-pyr√©n√©es,no,soil management and treated/untreated crop,"53 farms (40 conventionnal, 13 organic), 1 wheat field per farm (1 ha when conventionnal : 0.5 ha sprayed, 0.5 unsprayed ; 0.5 ha when organic). Sampling of aphids (Sitobion avenae), syrphids (Sphaerophoria scripta pupae), ladybeetles (Coccinella septempunctata nymph = C7) on ears and Calamobius filum larvae (Cerambicidae) on stem base after harvest",NA,"only one sampling per insect species per season (at the activity peak of the insect). Aphids: 30 wheat ears randomly collected per elementary field, all the aphids exhaustively counted.
Syrphids and C7: number of pupae or nymph (both  full and empty) on wheat beards in an circular area of 0,1104 m¬≤, repeated 6 times in an homogeneous field, 9 times in moderately heterogeneous field and 12 times in heterogeneous field",CORINE (Europe),"(1) Chabert, A. (2017). [Combined expression of ecosystem services in conventional and innovative agricultural production systems: a study of the agroecological determinants of soil, inputs and landscape management.] (title in French). PhD thesis, University of Toulouse, 216 pp; (2) Chabert, A. and J. P. Sarthou (2017). ""Practices of conservation agriculture prevail over cropping systems and landscape heterogeneity in understanding the ecosystem service of aphid biocontrol."" Agriculture, Ecosystems & Environment 249: 70-79.",f52070cc-90fe-4fa8-86db-b07b857f85bd
saul01,2010-2012,france,anjou - loire valley,yes,"Cabbage root fly infestation was monitored on every site (with the same protocol as in LERA01 dataset) and may have played a role (indirectly on aphids and directly on yield).

Two other ""covariates"" were not measured quantitatively but may have played a role :

- Herbirore damages varied from one site to the other and were found locally important. Focal plants (broccoli) were often damaged by birds, rabbits and flea beetles. Weevils (Baris), bugs and whiteflies were observed more occasionnaly but  may have reached high densities on some of our study plots.

- Plant growth conditions (e.g. soil structure, pH, organic matter, drought, competition with the crop...) were site dependent  and clearly influence plant production (yield of focal plants).","In each site, fifteen successive  plants from the same row of the initial crop (brassica) were removed and replaced in March-April by 15 focal ones (broccoli cvs Marathon) planted in the ground. These plants aged of 10 weeks had received no chemical treatment and were insect-free. The first focal plant was placed 12 rows from the field entrance edge and was the 12th on this row.",NA,"Ten out of the fifteen focal plants were inspected every week. Aphids, aphid mummies, ladybird beetles (adults and larvae) and syrphids larvae were counted on  whole plants. Species were not distinguished. Carabids were monitored using two pitfall traps per field which were put in place in all the fields at the same time. Pitfalls were checked weekly during three consecutive weeks. Crop yield was estimated by weighting the head of 10 broccolis (focal plants) of each field.",Author contribution; CORINE (Europe),Unpublished,10da2d61-aa61-4459-bccb-10583448be84
scha01,2009,israel,"central, mediteranean shrubland",NA,NA,in each crop field there were two places (sampling points) of data collection one at the margin one in the interior (in the abundance data sheet this is marked with an m for margin and i for interior after the site name). At each of them 10 trees were chosen to collect 30 almonds from each tree and store them in a plastic box to breed the insects within the almonds.,NA,the almonds from the 10 chosen trees per data collection point (2 per each site) were keept until spring and hatched insects were separated from almond leftovers and counted. Furtheremore almonds with hatching holes of the almond wasp (main parasitoid) were counted. ,Global Land Cover,Unpublished,2cc74a8d-bd0b-44c1-931f-27e3a888db25
schnei01,2011,germany,bavaria,no,NA,"2 transects/site (1 and 20m from the field edge), 5 plants per transect; 15 fields with overlapping landscape sectors in 2011 and 2012 (same landscape)",NA,"parasitized and non-parasitized pollen beetle larvae counted on 5 plants per transect; adults counted on main raceme of 25 plants per transect, larvae counted on 5 plants per transect; number of podless stalks per plant counted; seed weight per plant calculated from the number of ripe pods, the mean number of seeds per pod, and the dry weight of 200 seeds; interviews to get farmer¬¥s yield",Author contribution; CORINE (Europe),"Schneider G., Krauss J., Riedinger V., Holzschuh A., Steffan-Dewenter I. (2015). Biological pest control and yields depend on spatial and temporal crop cover dynamics. Journal of Applied Ecology 52, 1283-1292.",c718b729-ee42-4768-973c-f56379e9a9f3
schue01,2012,switzerland,central plateau,no,NA,"mean percentage of leaf area lost by chewing insects per site (16 leaves per tree, 4 trees per site)",NA,NA,Author contribution; CORINE (Europe),Schüepp C. et al. 2014. Habitat isolation affects plant-herbivore-enemy interactions on cherry trees. Biological Control 71:56-64,a6c5b61b-a571-4269-97a2-ab1eba5a4b08
siva01,2003-2008,united states,"kern county, california",NA,No,"Pest density was estimated approximately weekly and data are reported as sweep net samples, taken at several locations in a field and then averaged to obtain an average density estimate for that field in that week. Pest density estimates were calculated from samples collected weekly in the early phase of the cotton growing season (typically from the end of May to the end of June) and prior to any pesticide application targeting the pest  (Lygus hesperus). The mean density of L. hesperus (adults and nymphs combined) was calculated
from the day of the first recorded sample until 30 June or until the first pesticide application targeting L. hesperus was made if this occurred prior to 30 June. Because
that time interval was not the same for all the cotton fields, the mean density of L. hesperus was calculated as a weighted regression: the density of L. hesperus on the Yaxis was plotted against the sampled day on the X-axis, and the mean L. hesperus density was estimated as the area under the resulting curve, divided by the number of days covered by the sampling period.",NA,Yields were obtained directly from growers.  Pest density data were obtained from pest control advisors,Author contribution; Cropland Data Layer (United States),"Sivakoff, F.S., Rosenheim, J. a., Dutilleul, P. & Carrière, Y. (2013). Influence of the surrounding landscape on crop colonization by a polyphagous insect pest. Entomol. Exp. Appl., 149, 11–21",0d14f959-725f-46fe-bc0f-e432b7ec6691
skev01,2009-2013,united states,upper midwest,NA,"yes, field type","At each site, we put out sentinel corn earworm eggs, fall armyworm larvae, and/or waxworm larvae at two stations for 48 hours and looked at removal rates.  Station measurments were averaged to represent one site per year.",NA,"At each site, we put out sentinel corn earworm eggs, fall armyworm larvae, and/or waxworm larvae at two stations for 48 hours and looked at removal rates.  Station measurments were averaged to represent one site per year.",Cropland Data Layer (United States),"Skevas, T., et al. ""Integrating agricultural pest biocontrol into forecasts of energy biomass production."" Ecological Economics 106 (2014): 195-203",6e420e67-ef47-4c46-9d7d-b5073dfa3a90
stut01,2009,switzerland,central plateau,no,NA,Mummified aphids were recorded as a measure of parasitism,On two of the trees per site a glue ring was attached around the stem in order to prevent aphid-tending ants from going up the trees.,NA,Author contribution; CORINE (Europe),"Stutz, S., Entling, M.H. (2011) Effects of the landscape context on aphid-ant-predator interactions on cherry trees. Biological Control 57: 37-43.ë_",aa467c7b-31fc-4a63-8688-0a4f89cd49f4
taki01,2008,japan,ibaraki,no,No,"In each field, we randomly selected 100 plants on two days for observation. On the second sampling date, we tried to avoid selecting plants that had already been checked on the first date. We selected plants at approximately 2‚Äì5 m from the southern edge of the field to standardize sampling among field sites. For the collection of aphid predators, in each study field, we set a Malaise trap at the edge of the field on the side where we had checked plants for aphid presence.",n/a,"For individual selected plants, we carefully checked for the presence of the cotton aphid, and counted the number of plants that harbored aphids. ",Author contribution; Global Land Cover,"Taki H, Maeto K, Okabe K, Haruyama N, 2013. Influences of the seminatural and natural matrix surrounding crop fields on aphid presence and aphid predator abundance within a complex landscape. Agriculture, Ecosystems and Environment 179, 87-93.",98230ae7-5015-4cda-9d27-0a939d8b1721
tamb01,2014,italy,friuli venezia giulia,no,tillage,3 pitfall traps per plot active for 2 periods of 10 days (total abundance given),GroundDwellers; Flying predators/Parasitoids; Ground/Flying/Para; Flying/Para/Birds; Open; Closed control,Predation measured by counting aphids in cages at 5 and 10 days after XP start; predation index = Ntreatment at t+5/(growth in closed control * Ntreatment at t). Parasitized aphids counted once 10 days after XP start.,Author contribution; CORINE (Europe),"Tamburini, G., De Simone, S., Sigura, M., Boscutti, F., & Marini, L. (2016). Conservation tillage mitigates the negative effect of landscape simplification on biological control. Journal of applied ecology, 53(1), 233-241.",f58cb79c-977d-4f48-addf-70c6e787787b
thom01,2006-2007,australia,south australia,NA,NA,"5 replicated traps left out for 5 days five m apart each month for 5 consecutive months 50 m from vineyard edges

",NA,NA,Catchment Scale Land Use Map (Australia),"Alberto, C. F., Hoffmann, A. A., & Thomson, L. J. (2012). Limited benefits of non-crop vegetation on spiders in Australian vineyards: regional or crop differences?.ë_Biocontrol,ë_57(4), 541-552.",9c088abc-26ec-43c8-9647-2f0218bae2f6
thom02,2006-2007,australia,south australia,no,none,"5 replicated traps five meters apart for 5 consecutive months, 50m from vineyard edges",NA,NA,Catchment Scale Land Use Map (Australia),"Alberto, C. F., Hoffmann, A. A., & Thomson, L. J. (2012). Limited benefits of non-crop vegetation on spiders in Australian vineyards: regional or crop differences?.ë_Biocontrol,ë_57(4), 541-552.",43b52cb5-52cc-4782-883a-e017aab46eb7
tsaf01,2011,benin,nord benin (alibori departement),yes,local diversity,"In each crop field, 25 cotton plants were observed along each diagonal. Also light traps",NA,NA,Global Land Cover,"Tsafack N, Menozzi P, Brevault T, Soti V, Deconchat M & Ouin A. Effects of landscape context and agricultural practices on the abundance of cotton bollworm Helicoverpa armigera in cotton fields: A case study in northern Benin. International Journal of Pest Management, 59 (4): 294-302. 2013",93d63a2b-6512-4a0f-b74f-a3feb77bd5a3
tsch02,2013,switzerland,central swiss plateau (cantons zurich and aargau),no,adjacent flower strip (yes/no); sampling distance inside field,18 potato crop fields were studied. 8 adjacent to a sown annual flower strip & 10 adjacent to a potato control strip. In each crop field aphids were counted on two seperate occasions within a year on 2 transects (near=1m & far=10m) on 100 collected potato leaves each. On the same leaves natural enemy eggs were counted. Adult natural enemies were assessed by means of cornet traps inside flower- and control strips and on one (far) of the two transects in the field ,no exclosures,aphids counted on 100 collected potato leaves on each transect and occasion; Natural enemy eggs counted on the same leaves. ,CORINE (Europe),"Tschumi M, Albrecht M, Collatz J, Dubsky V, Entling MH, Najar-Rodriguez AJ, Jacot K 2016 Tailored flower strips promote natural enemy biodiversity and pest control in potato crops. Journal of Applied Ecology. 53, 1169-1176. (doi:10.1111/1365-2664.12653)",0374e2dd-a6aa-4876-b9cb-5a0ddc54869e
tsch03,2014,switzerland,central swiss plateau (cantons zurich and aargau),no,adjacent flower strip (yes/no); sampling distance inside field,20 winter wheat crop fields were studied. 10 adjacent to a sown perennial flower strip & 10 adjacent to a random crop. In each crop field different life stages of cereal leaf beetles (Oulema sp.) were counted on different occasions (2 temporal repetitions for eggs; 2 for larvae; 2 for adults) within a year on 2 transects (near=5m & far=10m). Eggs and larvae were counted on 3x25 wheat tillers on each transect; adults with sweep nets on the same transect. Plant damage by cereal leaf beetles was assessed once on the same transects and the same tillers. Winter wheat yield samples were collected on the same transects by cutting 2x1m2 on each transect.,no exclosures,cereal leaf beetle (Oulema sp.) eggs; larvae and plant damage counted/estimated on 3x25 wheat tillers on each transect & sampling occasion; adults captured with sweep nets. Winter wheat yield samples collected by cutting 2x1m2 on each transect.,CORINE (Europe),"Tschumi M, Albrecht M, Bärtschi C, Collatz J, Entling MH, Jacot K. 2016 Perennial, species-rich wildflower strips enhance pest control and crop yield. Agric. Ecosyst. Environ. 220, 97–103. (doi:http://dx.doi.org/10.1016/j.agee.2016.01.001)",bf6c90da-fd25-49d9-b9f8-862112c084ed
tschum01,2012,switzerland,central plateau,no,NA,10 Flowerstrips (adjacent to above mentionned winter wheat fields) / 1 distance / 2 to 3 counts per season (depending on enemy group),NA,Number of pest individuals per site / % of plantdamage on growing wheat plants,Author contribution; CORINE (Europe),"Tschumi M, Albrecht M, Entling MH, Jacot K. 2015 High effectiveness of tailored flower strips in reducing pests and crop plant damage. Proc. R. Soc. B Biol. Sci. 282. (doi:10.1098/rspb.2015.1369)",d4955ce8-ec8a-4494-898e-818ab8b651b0
werf01,2014,cambodia,siem reap,NA,"rice variety, planting date, fertilizer","In each site 4 focal rice fields were selected in which measurements were conducted. Arthropod abundance data were collected on 3 sampling occasions per field. At each sampling occasion 6 samples per field were taken. For each site there were 4 fields x 3 occasions x 6 samples = 72 samples taken. Here, seasonal totals (of 18 samples) are presented per field. For yield,  the 4 focal fields were sampled. In 4 sites (Doun Keo, Srah Srong Tbong, Pong Teuk and Svay Chum), a single sample (2 x 2 m) was taken per field, leading to a total of 4 samples per site. In the other sites (Khna Sanday, Wat, Ta Tray and Sakda), samples (2 x 2 m) were taken in duplo, leading to a total of 8 samples per site.",not applicable,"Arthropod sampling: samples were taken using blower-vac,  sampling unit was 4 rice hills.  Yield: rice samples were collected at 5 points on the diagonal of the plot, each point area is 1m2. Grain weight was standardized to 14% moisture and converted to ton/ha. Sample collection: 5 days before harvesting.",Global Land Cover,Unpublished,a1d5d865-5451-4c1f-9fe9-9fd49d315882
werl01,2005-2006,united states,wisconsin,NA,NA,NA,NA,"In 2005, each field had 15 egg masses that were deployed on two separate occasions. In 2006, 12 egg masses were deployed three separate occasions per field. In 2005, 12 uncovered egg masses and 3 covered egg masses were placed in each field. In 2006, 8 uncaged and 4 caged egg masses were placed in each field. Egg masses were set out and re-collected to be raised in the lab to hatch the undamaged eggs. There were 15 egg masses per field in 2005 and 12 egg masses per field in 2006. ",Cropland Data Layer (United States),"Werling, B. & C. Gratton. 2010. Local and broad scale landscape structure differentially impact predation of two potato pests. Ecological Applications 20(4): 1114-1125.",2c8ca465-e3af-48a9-a2e8-12d8183a6647
whit01,2003-2011,united states,wisconsin,NA,"yes, growth stage of soybean","each soybean field was visited only 1 time, ever, during mid summer, and soybean aphids were counted on 20 plants and averaged",NA,NA,Cropland Data Layer (United States),"(1) Stack Whitney, K., Meehan, T. D., Kucharik, C. J., Zhu, J., Townsend, P. A., Hamilton, K. and Gratton, C. (2016), Explicit modeling of abiotic and landscape factors reveals precipitation and forests associated with aphid abundance. Ecol Appl, 26: 2600–2610.; (2) Lacasella, F., Marta, S., Singh, A., Stack Whitney, K., Hamilton, K., Townsend, P., Kucharik, C. J., Meehan, T. D. and Gratton, C. (2017), From pest data to abundance-based risk maps combining eco-physiological knowledge, weather, and habitat variability. Ecol Appl, 27: 575–588.",95334af0-b85c-4a81-abb0-d6c4bdded093
wood01,2014,united kingdom,"oxfordshire, buckinghamshire",no,Sites were located adjoining either a grass only or flower rich field margin.  ,Within each site aphid (Aphis fabae) colonies were eestablished on winter wheat tillers 10 m into the crop.  Tillers were either exposed to all predators or predators were totally excluded.   The impact of natural pest control was assessed by counting adult aphids in each colony every 5-7 days over an approximately 40 day period  from May - July 2014.  This was replicated across three farms with replication within each farm (varying between 2 - 4 replicates) ,Exclosure treatments include: 1) no exclsure; 2) all predators excluded,Function was assessed by: 1) days to peak aphid colony size; 2) maximum abundance of aphids; 3) days until aphid colony death; 4) total sum of all aphids over sampling period.,CORINE (Europe),"Woodcock B.A., Bullock J.M., McCracken M., Chapman R.E., Ball S.L., Edwards M.E., Nowakowski M. & Pywell R.F. (2016) Spill-over of pest control and pollination services into arable crops. Agriculture Ecosystems & Environment, 231, 15-23.",d3780345-93ff-4ddc-8625-590d4c82e9fe
yasu01,2009,japan,"kozaki, okura, sanno-wakeme",yes,field boundary vegetation,"In each rice field, two twenty-sweep collections were conducted at 3 and 7 days between late June and early September. ",NA,proportion of pecky rice grains (collected 20 hills) per field ,Global Land Cover,"Yasuda, M., Mitsunaga, T., Takeda, A., Tabuchi, K., Oku, K., Yasuda, T., Watanabe, T. (2011) Comparison of the effects of landscape composition on two mired species in Japanese rice paddies, Applied Entomology and Zoology46: 519-525.",029d53e4-3932-43ae-9f5e-2a2826b64bee
yosh01,2008,japan,miyagi prefecture,no,"weed (Schoenoplectus juncoides and Echinochloa crus-galli) densities in the paddies, fallows surrounding paddies, and forests surrounding paddies","The densities of S. rubrovittatus (insect pest) and Tetragnatha spp. (natural enemy) at the centre of each field were measured through 20 sweeps with a 36-cm-diameter insect net. The densities of Lycosidae and P. clercki (natural enemy) were estimated by direct counts while walking along the row of 15 rice hills per field. When the spiders were observed on and
around the hills, the species were recorded. The abundance of S.juncoides and E. crus-galli were assessed by counting the numbers of ears of each species within a 1   3-m2 quadrat at the centre of each field.",NA,Crop damage levels caused by the insect pest were estimated using the rice from ten hills located at the centre of each field.,Global Land Cover,"Takada,M.B., Yoshioka, A., Takagi, S., Iwabuchi, S., and Washitani, I. (2012) Multiple spatial scale factors affecting mirid bug abundance and damage level
in organic rice paddies. Biol. Contr. 60: 169-174.",398b8612-3186-4ce1-8231-12203cb532a4
zou01,2014,china,jiangxi province,NA,No,"In each site, a study field was separated into two plots (sprayed and unsprayed).In both field, blower-vac sampling was carried out, for four separate times during rice growing season. ",NA,"In each plot, pests were sampled by 6 random samples with a total area of 1 square meter.",Author calculated landscape data,Unpublished,1e167146-f72f-431b-8fe4-1aad617e3847
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
